Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='curvenet_cls', k=20, lr=0.001, model='curvenet_cls', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.553381, train acc: 0.519442, train avg acc: 0.363914
Test 189, loss: 1.427065, test acc: 0.934360, test avg acc: 0.905570
Train 190, loss: 1.306299, train acc: 0.993893, train avg acc: 0.990945
Test 190, loss: 1.423927, test acc: 0.936386, test avg acc: 0.908942
Train 191, loss: 1.305488, train acc: 0.993485, train avg acc: 0.989581
Test 191, loss: 1.425582, test acc: 0.935981, test avg acc: 0.906901
Train 192, loss: 1.304498, train acc: 0.994809, train avg acc: 0.991991
Test 192, loss: 1.427238, test acc: 0.933144, test avg acc: 0.904983
Train 193, loss: 1.305166, train acc: 0.993282, train avg acc: 0.990853
Test 193, loss: 1.423776, test acc: 0.938412, test avg acc: 0.911401
Train 194, loss: 1.304408, train acc: 0.994300, train avg acc: 0.990957
Test 194, loss: 1.427524, test acc: 0.934360, test avg acc: 0.907692
Train 195, loss: 1.305089, train acc: 0.994096, train avg acc: 0.991044
Test 195, loss: 1.426729, test acc: 0.935981, test avg acc: 0.910488
Train 196, loss: 1.303238, train acc: 0.995012, train avg acc: 0.992255
Test 196, loss: 1.425034, test acc: 0.938006, test avg acc: 0.913860
Train 197, loss: 1.304111, train acc: 0.994198, train avg acc: 0.990365
Test 197, loss: 1.426431, test acc: 0.934360, test avg acc: 0.907529
Train 198, loss: 1.303994, train acc: 0.994503, train avg acc: 0.992581
Test 198, loss: 1.424388, test acc: 0.936791, test avg acc: 0.908151
Train 199, loss: 1.303686, train acc: 0.995012, train avg acc: 0.992411
Test 199, loss: 1.426077, test acc: 0.933955, test avg acc: 0.909279
